Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2009/05/23 19:30:15.52,-0.8,40.8330,14.1222,2.00,Revisionato
2009/05/23 19:47:6.00,-0.1,40.8283,14.1322,2.00,Revisionato
2009/05/23 21:11:36.09,-0.8,40.8175,14.1382,2.00,Revisionato
2009/05/25 18:01:0.29,0.1,40.8220,14.1278,2.00,Revisionato
2009/06/13 03:40:44.11,0.9,40.8230,14.1488,1.11,Revisionato
2010/01/29 17:34:48.27,1.1,40.8427,14.1608,4.30,Revisionato
2010/03/30 16:15:23.23,-0.5,40.8302,14.1655,0.08,Revisionato
2010/03/30 16:20:43.57,-0.1,40.8245,14.1670,0.81,Revisionato
2010/03/30 16:22:40.09,-0.3,40.8313,14.1517,1.46,Revisionato
2010/03/30 16:24:3.10,0.6,40.8257,14.1647,0.72,Revisionato
2010/03/30 16:24:36.77,0.9,40.8293,14.1492,2.29,Revisionato
2010/03/30 16:25:46.34,1.0,40.8313,14.1517,1.84,Revisionato
2010/03/30 16:27:8.04,-0.1,40.8313,14.1517,2.23,Revisionato
2010/03/30 16:28:24.07,0.8,40.8313,14.1535,2.30,Revisionato
2010/03/30 16:29:5.94,1.1,40.8292,14.1517,2.32,Revisionato
2010/03/30 16:30:53.80,1.0,40.8292,14.1517,1.82,Revisionato
2010/03/30 16:31:31.79,0.6,40.8280,14.1482,2.53,Revisionato
2010/03/30 16:33:42.86,-0.3,40.8313,14.1517,2.00,Revisionato
2010/03/30 16:34:27.53,1.2,40.8313,14.1517,1.83,Revisionato
2010/03/30 16:36:23.26,-0.1,40.8313,14.1498,2.42,Revisionato
2010/03/30 16:36:45.86,0.1,40.8313,14.1517,1.75,Revisionato
2010/03/30 16:38:23.20,0.2,40.8300,14.1502,2.25,Revisionato
2010/03/30 16:38:49.51,0.2,40.8393,14.1403,0.11,Revisionato
2010/03/30 16:40:23.63,1.2,40.8313,14.1517,1.86,Revisionato
2010/03/30 17:16:8.80,0.5,40.8348,14.1458,1.89,Revisionato
2010/07/07 13:12:0.28,-0.3,40.8238,14.1402,2.48,Revisionato
2010/07/07 13:16:35.80,-0.1,40.8220,14.1407,2.00,Revisionato
2010/07/07 16:36:55.94,-0.1,40.8315,14.1318,2.00,Revisionato
2010/07/26 19:40:3.40,-0.5,40.8228,14.1337,1.50,Revisionato
2010/10/01 07:37:46.90,-0.5,40.8427,14.1422,0.46,Revisionato
2010/11/06 16:22:0.96,0.8,40.9025,14.1028,3.54,Revisionato
2011/02/05 16:26:31.49,-0.3,40.8265,14.1792,3.57,Revisionato
2011/02/07 07:04:3.01,1.1,40.8417,14.1388,2.00,Revisionato
2011/04/10 12:11:11.65,1.4,40.8687,14.1158,2.00,Revisionato
2011/04/18 01:44:18.87,-0.3,40.8285,14.1377,2.38,Revisionato
2011/04/30 00:35:54.16,-0.5,40.8315,14.1323,1.64,Revisionato
2011/04/30 00:46:2.95,-0.5,40.8295,14.1315,1.72,Revisionato
2011/05/13 01:07:28.41,-0.8,40.8315,14.1493,1.54,Revisionato
2011/05/13 01:28:33.52,-1.0,40.8315,14.1465,1.01,Revisionato
2011/05/13 02:26:40.87,-0.5,40.8315,14.1387,2.22,Revisionato
2011/05/18 16:39:12.93,0.7,40.8427,14.1730,2.26,Revisionato
2011/05/19 00:39:55.65,1.5,40.8427,14.1688,2.45,Revisionato
2011/07/10 03:01:59.30,0.0,40.8235,14.1427,0.01,Revisionato
2011/07/10 03:02:0.23,0.5,40.8315,14.1402,2.00,Revisionato
2011/09/02 19:34:53.17,0.2,40.8325,14.1573,2.04,Revisionato
2011/09/08 02:56:11.79,1.2,40.8212,14.1447,2.34,Revisionato
2011/09/08 03:01:27.63,0.7,40.8260,14.1458,1.61,Revisionato
2011/11/28 17:40:6.81,0.7,40.8228,14.1625,2.58,Revisionato
2011/12/03 21:30:48.39,-0.3,40.8407,14.1380,1.05,Revisionato
2012/01/14 07:42:40.95,0.2,40.8313,14.1495,2.00,Revisionato
2012/01/22 08:01:5.69,-0.3,40.8220,14.1355,2.00,Revisionato
2012/01/31 18:47:1.98,-0.3,40.8390,14.1628,0.94,Revisionato
2012/02/10 00:29:9.90,0.1,40.8427,14.1457,1.41,Revisionato
2012/02/11 03:52:9.49,-0.1,40.8240,14.1512,0.82,Revisionato
2012/02/25 17:47:42.91,-0.5,40.8315,14.1428,0.97,Revisionato
2012/03/29 08:27:58.76,-0.3,40.8313,14.1380,0.49,Revisionato
2012/04/11 23:07:17.84,-0.3,40.8397,14.1653,2.00,Revisionato
2012/04/11 23:08:22.06,-0.5,40.8427,14.1608,4.17,Revisionato
2012/04/11 23:15:41.39,-0.8,40.8427,14.1608,4.65,Revisionato
2012/04/12 21:45:52.35,-0.1,40.8457,14.1623,2.00,Revisionato
2012/04/19 16:40:30.78,0.1,40.8220,14.1347,2.00,Revisionato
2012/04/19 16:44:38.20,0.4,40.8220,14.1365,2.00,Revisionato
2012/04/19 16:45:6.08,-0.8,40.8220,14.1347,2.00,Revisionato
2012/04/19 16:53:8.15,-0.3,40.8220,14.1337,2.00,Revisionato
2012/04/19 19:34:1.05,0.8,40.8250,14.1327,2.00,Revisionato
2012/04/19 19:56:42.32,1.4,40.8233,14.1345,2.00,Revisionato
2012/04/19 19:57:22.69,0.2,40.8197,14.1325,0.63,Revisionato
2012/04/19 19:58:16.38,-0.3,40.8188,14.1365,2.00,Revisionato
2012/04/20 04:29:5.22,0.8,40.8153,14.1307,1.62,Revisionato
2012/04/20 04:29:29.95,1.1,40.8235,14.1300,2.00,Revisionato
2012/04/20 04:30:46.15,-0.5,40.8220,14.1282,2.00,Revisionato
2012/04/20 04:45:53.26,1.1,40.8228,14.1290,2.67,Revisionato
2012/04/20 05:04:13.85,-0.3,40.8220,14.1337,2.00,Revisionato
2012/04/20 05:32:31.58,-0.3,40.8220,14.1348,2.78,Revisionato
2012/04/22 21:37:40.55,0.4,40.8220,14.1343,2.00,Revisionato
2012/05/27 22:26:38.91,-0.5,40.8207,14.1383,1.53,Revisionato
2012/05/27 23:05:48.22,-1.0,40.8220,14.1422,2.00,Revisionato
2012/06/01 21:55:28.10,0.1,40.8273,14.1485,1.30,Revisionato
